knee_flexion,knee_valgus,hip_flexion,trunk_inclination,ankle_dorsiflexion,landing_symmetry,risk
51.23,5.17,38.13,19.26,36.43,47.71,Low
42.32,5.23,41.52,18.16,27.76,50.58,Moderate
53.82,10.95,48.03,10.52,28.35,48.93,Low
16.44,19.99,20.49,6.97,9.23,68.12,High
45.35,5.64,42.43,4.3,42.4,51.56,Low
16.92,13.56,19.61,30.39,35.64,25.76,High
41.95,10.16,33.78,21.32,26.58,61.48,Moderate
23.81,15.99,18.87,30.16,35.1,31.71,High
51.46,1.97,44.11,15.1,23.66,45.44,Low
35.02,5.47,45.97,14.19,39.22,57.13,Moderate
49.1,4.1,48.97,10.69,34.36,51.13,Low
69.83,4.76,39.78,11.82,30.2,48.49,Low
44.96,8.22,38.85,14.47,34.42,50.49,Low
71.03,8.21,46.69,5.55,27.47,50.13,Low
41.06,10.7,31.26,18.7,23.46,41.34,Moderate
12.78,19.48,28.49,11.14,41.07,66.52,High
71.13,5.83,38.63,10.99,34.42,56.03,Low
43.77,8.55,34.16,16.33,28.22,61.41,Moderate
69.4,7.09,54.43,11.9,43.87,57.86,Low
48.0,3.96,44.64,9.43,32.57,50.01,Low
13.99,18.93,29.15,6.39,22.43,67.23,High
45.38,5.28,35.43,13.81,41.31,56.8,Low
26.12,15.04,28.29,4.8,46.62,38.83,High
26.22,9.35,12.89,11.84,14.37,74.33,High
59.5,11.73,41.85,14.87,34.28,46.85,Low
15.45,19.88,30.92,34.27,40.03,64.5,High
54.84,5.93,44.6,10.42,36.12,40.96,Low
56.65,4.7,43.52,9.29,36.16,55.89,Low
53.91,6.63,40.39,9.92,42.74,65.3,Moderate
39.94,11.84,28.4,16.52,25.41,59.27,Moderate
18.17,17.9,27.66,34.09,32.57,60.97,High
35.82,5.55,36.19,6.41,35.05,51.77,Moderate
17.64,12.1,15.56,20.02,10.78,66.76,High
11.56,10.57,29.93,22.25,20.04,69.24,High
21.03,19.05,31.09,16.91,49.22,36.76,High
53.65,13.11,41.72,11.4,41.27,49.73,Moderate
16.11,10.53,13.06,5.27,38.33,37.21,High
22.11,13.33,30.87,10.28,34.22,29.89,High
21.06,16.21,30.02,11.71,45.63,34.53,High
52.14,5.21,38.53,9.96,30.65,49.29,Low
54.96,8.68,36.51,12.0,43.14,38.68,Low
20.88,21.97,16.08,11.31,30.1,27.11,High
15.51,21.61,26.79,18.58,27.18,31.69,High
16.64,19.58,20.26,16.36,41.57,60.67,High
59.49,6.82,47.13,9.34,43.5,39.96,Low
35.09,6.52,34.46,7.71,34.31,58.51,Moderate
39.58,10.72,33.66,20.31,23.26,41.35,Moderate
11.98,19.05,20.55,19.53,30.76,62.0,High
27.7,17.06,32.0,33.22,31.12,68.84,High
58.72,6.58,50.13,10.23,38.74,60.22,Low
49.33,6.69,43.33,8.67,46.29,49.53,Low
19.22,13.86,29.79,6.76,37.87,67.04,High
59.62,8.79,39.43,11.5,22.38,66.73,Moderate
26.04,17.95,12.12,5.48,9.59,35.12,High
12.74,15.82,21.63,5.83,47.46,66.07,High
56.13,5.81,43.23,5.96,31.11,54.99,Low
40.98,10.99,37.6,17.43,34.8,42.42,Moderate
20.1,9.22,24.21,22.35,48.97,41.0,High
21.81,13.24,30.37,13.39,36.0,67.71,High
17.31,12.18,13.58,4.81,13.12,38.36,High
57.4,12.26,48.5,9.86,29.44,59.04,Moderate
53.48,11.62,43.18,7.12,40.63,42.99,Moderate
46.96,8.08,54.8,9.32,27.89,46.74,Low
53.8,9.18,44.02,19.14,35.57,49.07,Low
15.71,16.39,25.2,34.22,41.73,65.99,High
49.46,3.05,34.87,6.84,22.77,51.38,Low
25.0,12.31,25.46,21.61,23.42,25.1,High
47.97,3.79,44.21,11.7,33.11,34.93,Moderate
50.67,4.4,46.71,13.08,40.84,47.02,Low
15.36,6.2,13.64,19.63,46.19,35.09,High
55.21,4.81,41.43,6.83,22.72,44.3,Low
57.42,4.97,36.76,6.07,37.6,63.79,Moderate
15.67,6.57,31.98,19.65,9.64,39.75,High
52.75,4.71,44.72,12.34,32.94,41.93,Low
36.73,9.4,29.2,18.12,22.04,58.59,Moderate
74.61,2.84,39.0,13.61,45.21,58.83,Low
11.61,6.32,17.62,34.04,17.35,67.51,High
19.57,18.45,21.72,6.77,29.98,39.48,High
63.5,7.8,54.04,4.73,34.76,39.56,Low
39.11,11.4,34.36,19.76,22.1,42.09,Moderate
49.75,3.26,57.33,11.61,49.51,55.69,Low
57.94,3.03,35.55,9.87,43.84,35.15,Moderate
34.49,5.92,43.74,8.63,35.22,53.96,Moderate
45.15,7.77,38.7,11.45,22.49,65.55,Moderate
13.1,15.86,16.94,11.54,33.51,26.46,High
17.35,19.8,30.07,11.82,21.79,39.88,High
22.58,18.16,30.61,27.01,41.59,61.61,High
59.15,4.17,48.91,10.95,35.54,40.19,Low
50.17,4.72,43.38,11.08,37.02,63.71,Moderate
59.53,5.77,43.78,7.99,53.34,50.83,Low
50.96,3.12,37.12,11.42,23.16,65.84,Moderate
16.39,14.13,28.67,26.02,10.67,68.17,High
26.65,19.82,16.71,30.38,44.13,31.57,High
18.3,12.58,31.0,17.12,47.23,72.29,High
19.37,6.19,12.55,34.56,35.18,26.57,High
81.79,7.45,41.18,9.53,35.27,53.63,Low
27.27,18.28,31.46,15.66,24.76,70.31,High
16.07,8.9,29.58,34.38,9.71,67.18,High
53.1,5.02,39.23,24.69,33.07,50.83,Moderate
44.76,11.34,44.33,7.77,22.84,42.22,Moderate
38.52,8.67,39.92,17.32,21.75,60.39,Moderate
20.51,12.61,18.61,19.92,44.16,34.11,High
26.0,9.25,31.0,18.87,41.49,34.28,High
63.82,6.08,44.69,9.44,27.71,58.18,Low
51.37,9.04,39.4,18.26,33.21,50.49,Low
47.76,4.03,42.92,7.08,35.94,42.37,Low
38.22,10.75,30.87,18.03,30.24,59.33,Moderate
13.53,8.34,16.44,26.35,20.19,38.6,High
23.05,7.23,28.64,12.96,38.51,33.82,High
68.73,1.61,36.75,5.56,24.47,55.87,Low
20.75,14.42,26.2,11.61,25.17,26.2,High
61.94,8.16,39.58,5.54,34.3,59.05,Low
40.21,7.42,39.99,15.94,25.15,48.04,Moderate
38.05,10.13,31.29,16.35,30.9,40.75,Moderate
45.19,10.04,38.52,20.34,30.29,58.72,Moderate
50.79,6.29,46.12,11.48,38.25,52.89,Low
42.55,10.99,38.54,16.96,24.87,43.81,Moderate
71.06,8.79,47.08,7.54,51.05,46.82,Low
51.93,3.87,45.91,15.12,24.07,65.78,Moderate
42.54,6.3,35.14,23.38,39.97,48.52,Moderate
73.21,7.69,45.85,7.99,38.56,58.69,Low
12.52,15.85,13.76,10.66,27.74,38.76,High
41.8,10.03,32.21,16.47,26.19,41.24,Moderate
20.39,8.62,19.16,29.38,48.77,33.31,High
16.43,19.3,24.04,7.85,40.79,67.55,High
57.68,7.41,40.47,20.43,43.56,45.91,Low
38.88,8.26,42.46,15.8,34.57,41.39,Moderate
38.91,12.03,36.58,17.38,30.79,55.28,Moderate
19.77,8.4,22.22,30.66,9.08,75.01,High
58.04,6.26,50.1,14.47,23.88,45.61,Low
64.09,4.8,42.73,13.11,36.68,46.5,Low
24.06,13.24,13.19,25.14,28.01,64.67,High
23.09,15.19,30.8,32.09,34.3,25.62,High
48.33,8.05,37.83,14.03,26.72,61.62,Low
44.88,11.51,44.06,9.05,24.78,58.02,Moderate
43.99,5.75,33.2,22.97,20.75,41.83,Moderate
59.72,5.19,37.49,7.12,45.48,47.26,Low
20.04,12.51,27.14,29.92,40.39,40.61,High
47.32,9.01,46.12,10.84,30.6,44.04,Low
25.52,11.52,19.05,12.8,9.49,58.32,High
49.21,12.42,41.97,9.04,28.06,45.01,Moderate
52.52,3.35,36.92,9.34,30.74,42.31,Low
54.34,6.41,49.64,5.77,35.31,53.73,Low
17.95,8.79,30.34,7.43,14.64,66.73,High
34.41,7.59,41.43,13.38,28.23,46.54,Moderate
45.3,8.86,35.73,24.37,25.94,59.31,Moderate
55.9,7.91,46.35,6.72,28.6,63.76,Low
11.59,7.1,27.83,32.41,23.12,24.72,High
50.69,6.25,38.75,10.02,42.47,54.8,Low
15.54,15.24,25.86,11.22,33.35,74.63,High
49.98,5.53,41.98,12.08,34.13,49.49,Low
12.88,15.32,30.7,31.96,15.33,24.04,High
22.83,17.38,29.29,8.02,19.54,75.46,High
43.79,10.53,44.26,15.17,40.16,54.05,Moderate
27.14,19.3,29.01,25.87,25.07,39.18,High
53.26,4.02,33.64,22.79,23.77,56.78,Moderate
50.65,8.15,35.11,18.8,25.09,45.33,Moderate
65.11,4.06,48.5,12.97,35.34,48.83,Low
54.61,7.77,54.02,10.06,31.89,57.89,Low
40.32,4.74,35.81,13.56,26.66,56.82,Moderate
22.06,6.65,22.76,34.04,35.94,39.8,High
55.91,6.61,41.91,13.41,27.68,64.79,Moderate
53.59,1.62,57.03,11.79,33.91,45.92,Low
40.57,3.82,35.73,8.99,22.48,55.14,Moderate
43.52,7.79,43.55,15.36,39.21,65.61,Moderate
54.15,6.53,49.13,1.97,34.03,56.09,Low
84.06,4.88,42.06,6.17,25.12,44.99,Low
57.28,4.83,48.75,7.49,28.28,58.24,Low
41.93,8.82,31.62,19.88,18.63,56.42,Moderate
68.52,4.53,34.0,5.88,33.42,51.67,Low
46.47,8.74,34.33,12.39,34.35,38.31,Moderate
37.07,6.79,41.24,8.06,23.46,55.01,Moderate
23.87,7.05,24.09,22.05,20.86,63.28,High
55.22,6.55,45.42,12.39,42.49,49.4,Low
49.17,9.22,39.92,18.21,32.32,59.73,Moderate
43.97,14.36,46.08,9.09,43.99,54.26,Moderate
55.2,4.11,47.05,7.14,30.91,49.3,Low
47.88,7.31,34.0,7.79,29.16,52.41,Low
40.88,11.24,38.78,21.18,25.97,59.31,Moderate
55.11,4.33,53.63,8.34,46.0,47.65,Low
61.14,7.0,51.48,9.43,33.79,45.36,Low
45.35,9.51,35.94,17.68,18.78,59.65,Moderate
63.35,5.06,44.29,4.98,39.03,49.81,Low
21.89,15.25,28.35,6.56,45.81,25.76,High
27.31,9.15,29.59,5.12,14.69,30.98,High
43.0,4.92,38.56,12.95,46.07,49.74,Low
53.52,13.91,36.63,14.71,23.53,44.63,Moderate
56.31,11.18,42.56,7.55,26.14,44.27,Low
20.97,7.34,16.47,16.1,31.95,27.43,High
44.6,4.52,42.08,14.58,36.35,62.93,Moderate
47.96,5.27,41.52,10.52,31.24,59.44,Low
45.59,10.99,38.52,20.85,27.16,40.91,Moderate
40.93,8.01,30.05,15.98,22.23,59.86,Moderate
37.66,11.76,38.95,20.88,27.01,41.96,Moderate
49.45,8.39,50.96,10.06,28.63,48.38,Low
49.54,5.1,39.13,7.27,34.81,42.76,Low
56.69,4.28,40.65,13.26,39.89,34.61,Moderate
24.39,17.95,26.32,18.87,16.69,31.38,High
47.96,6.15,46.18,7.86,28.49,55.66,Low
40.42,9.66,39.33,21.37,19.62,56.75,Moderate
71.61,5.59,42.3,4.92,40.45,41.45,Low
45.12,6.13,45.71,12.86,31.51,50.98,Low
45.01,11.97,39.33,20.27,22.11,61.76,Moderate
21.48,6.1,21.1,24.42,43.41,24.74,High
19.88,9.44,18.34,7.44,16.99,64.62,High
59.06,5.65,46.21,6.33,35.05,36.42,Low
73.49,4.91,45.1,7.68,30.74,54.13,Low
44.65,13.29,46.31,7.54,37.29,50.56,Moderate
57.93,8.01,41.04,7.03,34.77,65.29,Low
59.03,6.42,44.51,15.84,43.93,35.1,Moderate
64.35,3.4,46.16,9.84,45.51,51.0,Low
42.14,11.17,38.03,17.27,27.15,58.56,Moderate
47.65,5.99,45.46,4.98,44.78,51.28,Low
48.63,7.24,38.64,9.91,34.98,62.65,Moderate
37.21,12.45,37.29,16.43,26.26,41.44,Moderate
57.09,6.47,45.34,19.04,34.8,59.24,Moderate
43.0,5.94,45.67,14.0,39.23,42.66,Low
68.54,6.66,40.98,7.64,33.21,44.09,Low
24.03,10.79,21.77,9.13,48.99,39.86,High
47.92,10.55,44.76,14.65,40.42,46.14,Moderate
40.46,4.84,42.7,6.21,28.04,41.42,Moderate
19.35,12.29,13.09,9.06,8.35,29.32,High
12.98,6.96,25.85,21.44,18.93,38.28,High
41.47,9.22,35.28,18.15,25.83,37.55,Moderate
18.77,9.6,31.15,25.22,18.19,26.3,High
38.96,9.97,35.16,21.74,18.58,57.71,Moderate
43.85,3.79,44.78,14.29,40.3,54.42,Low
17.79,12.52,23.16,19.4,38.84,39.31,High
60.75,11.66,49.23,12.68,30.16,50.51,Low
15.86,17.11,21.55,31.83,26.96,66.39,High
54.11,7.41,37.37,16.39,22.11,62.66,Moderate
11.64,16.18,28.88,21.79,26.58,25.97,High
13.44,16.68,27.45,23.0,16.97,72.55,High
27.7,17.76,15.38,29.96,11.11,59.9,High
11.09,8.67,16.34,34.03,42.33,58.22,High
51.4,6.5,46.88,9.24,30.38,48.22,Low
58.68,6.25,53.81,8.75,31.21,50.69,Low
43.0,7.24,42.45,6.17,31.8,43.6,Low
63.54,2.61,34.0,8.63,47.34,57.35,Low
17.82,8.02,14.69,24.0,43.93,68.87,High
68.22,4.73,52.19,8.09,25.71,50.46,Low
44.18,3.25,36.5,7.07,29.49,63.95,Moderate
20.85,7.0,30.39,25.32,19.49,66.75,High
38.7,11.77,38.93,18.14,19.33,38.73,High
20.87,15.55,30.38,29.88,26.79,72.71,High
40.88,12.4,29.61,17.2,30.96,38.03,High
57.66,5.75,40.16,7.79,25.79,34.66,Moderate
26.26,15.48,14.64,14.37,15.87,67.27,High
61.24,6.09,44.02,15.02,36.43,47.75,Low
75.91,4.54,44.75,14.1,35.13,49.24,Low
57.49,7.6,44.56,19.81,25.19,42.28,Low
41.98,7.77,40.56,6.01,26.18,53.05,Low
51.28,7.21,34.26,8.93,29.41,34.47,Moderate
55.43,3.92,45.17,7.98,30.9,54.7,Low
39.33,5.44,43.84,9.83,24.45,44.57,Moderate
62.6,3.88,43.24,13.73,20.0,52.84,Low
38.27,8.42,30.24,21.62,21.81,60.68,Moderate
55.88,6.14,45.65,8.5,43.04,42.18,Low
60.35,5.93,50.59,8.45,38.13,51.11,Low
60.25,6.52,50.03,10.45,41.37,40.51,Low
23.88,10.37,17.8,30.21,28.44,75.66,High
52.1,5.78,44.43,10.18,37.13,38.53,Moderate
46.77,8.87,44.61,22.04,35.34,46.97,Moderate
75.09,4.45,43.45,13.86,36.17,45.0,Low
49.48,7.2,38.94,7.52,32.21,51.29,Low
38.21,8.84,37.41,20.65,31.54,61.85,Moderate
14.14,6.86,22.68,5.74,49.95,70.34,High
28.3,16.72,16.98,34.84,8.57,36.6,High
59.75,4.38,43.49,6.47,30.04,56.2,Low
20.31,16.37,29.85,28.79,48.37,73.81,High
40.43,11.69,38.46,16.67,22.34,44.36,Moderate
58.82,3.75,37.85,14.4,34.29,60.59,Low
50.72,6.63,42.85,9.2,41.85,56.14,Low
59.12,4.06,44.8,10.1,23.63,61.21,Low
51.81,6.81,46.88,7.03,27.37,60.83,Low
45.61,12.61,40.43,8.97,43.08,52.54,Moderate
45.81,11.0,36.84,15.55,37.23,56.14,Moderate
19.09,17.12,24.32,29.71,38.52,73.14,High
21.83,21.9,15.02,28.51,18.66,65.58,High
40.44,5.59,45.35,13.98,23.64,43.76,Moderate
65.14,4.93,42.35,15.34,50.75,40.78,Low
38.26,4.1,34.68,7.67,29.95,55.88,Moderate
12.93,14.54,25.91,34.2,47.79,28.58,High
26.93,9.61,21.65,24.58,11.56,30.66,High
43.0,6.42,47.12,7.0,35.34,50.39,Low
23.11,19.26,21.13,18.64,22.43,28.36,High
18.57,15.64,25.4,12.68,47.83,59.24,High
39.18,8.98,37.89,18.13,19.96,58.88,Moderate
62.47,5.19,49.76,7.69,46.52,48.79,Low
27.84,11.93,22.3,26.79,46.87,69.39,High
11.37,20.96,30.49,14.51,35.18,30.55,High
22.7,18.01,16.77,31.63,16.06,37.31,High
49.48,8.8,44.74,11.09,42.74,37.27,Moderate
23.0,8.31,23.47,19.77,30.19,35.26,High
69.25,4.64,44.44,7.03,23.02,58.27,Low
51.0,6.11,47.41,10.29,25.72,55.25,Low
60.89,8.22,48.74,12.03,51.36,45.87,Low
62.71,8.67,43.39,5.1,23.25,60.43,Low
58.33,8.27,44.38,13.37,23.35,65.74,Moderate
73.0,5.16,45.44,6.99,46.91,55.12,Low
55.85,4.8,34.88,24.84,44.25,59.15,Moderate
46.15,7.77,45.86,16.12,35.07,60.57,Low
58.69,5.58,37.68,11.3,48.9,53.19,Low
61.15,6.2,41.83,7.83,37.43,49.33,Low
16.94,11.85,18.29,31.21,44.14,66.62,High
40.19,8.4,39.22,19.66,23.2,43.37,Moderate
42.61,7.71,35.87,21.55,23.46,47.62,Moderate
24.88,16.77,19.64,31.23,13.21,31.1,High
58.21,4.77,42.62,16.86,37.23,63.15,Moderate
64.16,2.19,40.76,9.41,37.57,57.65,Low
43.42,8.91,37.07,16.66,27.96,61.0,Moderate
64.51,4.92,34.0,6.11,24.43,51.44,Low
47.69,4.46,40.5,10.54,24.95,62.1,Moderate
58.24,4.92,34.0,6.93,38.72,54.56,Low
40.39,9.23,33.21,16.87,19.79,40.9,Moderate
39.47,8.77,32.7,16.37,26.77,56.15,Moderate
11.08,19.1,30.35,5.83,35.76,31.2,High
50.63,3.75,47.39,16.25,42.44,61.44,Moderate
14.76,10.29,26.8,12.51,31.48,63.94,High
24.76,12.29,23.37,23.76,46.23,40.94,High
16.23,8.37,15.66,22.85,13.68,36.53,High
37.39,6.44,46.9,7.78,27.84,57.42,Moderate
26.11,11.14,30.79,4.02,46.27,71.78,High
51.31,12.59,47.14,9.18,33.17,53.11,Moderate
11.82,6.64,30.79,11.23,14.59,61.6,High
17.03,15.67,24.26,11.31,33.85,33.55,High
20.08,11.82,18.02,27.6,21.64,74.92,High
16.2,13.19,18.96,17.07,25.75,58.61,High
15.98,8.18,31.29,21.27,9.27,63.71,High
49.22,8.53,48.89,5.63,42.36,57.5,Low
17.27,20.13,13.9,23.48,14.59,74.91,High
16.73,18.11,16.95,18.56,39.02,37.38,High
52.52,3.97,44.45,7.04,32.0,57.64,Low
19.56,6.13,20.54,26.69,45.36,29.6,High
60.65,7.38,39.73,8.82,28.61,45.44,Low
47.96,7.45,41.37,5.59,40.51,48.97,Low
56.12,9.14,33.29,19.22,23.61,58.7,Moderate
24.72,17.83,18.21,30.95,40.82,41.87,High
56.12,4.95,35.26,6.09,33.55,40.41,Low
43.54,10.97,31.08,17.13,25.56,60.61,Moderate
64.96,3.84,36.27,9.48,31.26,54.1,Low
43.57,6.62,44.35,3.77,31.91,54.13,Low
39.17,6.48,36.97,13.22,33.87,53.04,Moderate
54.57,4.56,40.95,7.04,49.88,46.82,Low
19.18,21.05,19.02,10.71,48.99,67.72,High
40.45,10.32,37.73,19.7,22.84,41.33,Moderate
58.92,5.91,42.31,7.84,38.56,46.86,Low
46.58,4.78,47.69,12.04,33.69,47.91,Low
19.12,20.48,16.24,7.15,45.18,58.36,High
39.96,10.09,33.69,17.76,24.09,59.05,Moderate
51.4,5.64,46.72,12.78,38.74,53.8,Low
68.51,4.27,47.79,8.33,41.02,49.05,Low
25.66,16.59,30.52,34.93,40.12,70.75,High
54.51,7.8,40.75,8.85,33.66,39.39,Low
50.87,6.98,51.93,10.8,39.21,59.97,Low
38.82,7.19,45.61,15.53,29.84,50.67,Moderate
53.39,5.16,37.95,18.02,43.91,53.44,Low
43.96,12.33,48.16,17.0,24.91,52.43,Moderate
62.32,4.46,46.45,11.99,39.81,60.36,Low
36.29,7.24,34.73,13.27,25.82,54.87,Moderate
54.39,7.8,35.68,7.84,31.37,38.99,Low
16.14,16.95,18.61,7.68,19.36,59.48,High
58.66,7.07,34.0,16.0,20.0,51.71,Low
58.86,5.57,40.03,7.87,38.8,59.54,Low
25.77,11.72,31.4,23.9,9.88,68.74,High
52.4,8.65,39.94,7.85,24.44,33.37,Moderate
16.97,18.41,30.25,30.9,8.02,33.87,High
14.94,18.5,23.05,12.78,14.8,28.13,High
52.74,5.53,37.97,11.22,33.85,45.11,Low
